choice,green_outcome,outcome,outcome_mag,blue_mag,green_mag,probabilities,rt
1,1,1,23,10,23,0.8,1750
0,1,0,0,97,45,0.8,538
0,1,0,0,62,54,0.8,250
0,0,1,16,16,99,0.8,NaN
0,1,0,0,40,72,0.8,2616
0,1,0,0,88,98,0.8,364
0,1,0,0,54,6,0.8,2019
0,1,0,0,55,64,0.8,1620
0,1,0,0,45,96,0.8,1180
0,1,0,0,19,28,0.8,242
0,1,0,0,26,95,0.8,440
0,1,0,0,29,90,0.8,480
0,1,0,0,53,20,0.8,2871
0,1,0,0,56,74,0.8,565
0,1,0,0,42,18,0.8,625
1,1,1,11,91,11,0.8,2015
0,0,1,31,31,32,0.8,305
0,0,1,65,65,36,0.8,680
1,0,0,0,30,40,0.8,22
1,1,1,29,26,29,0.8,411
1,0,0,0,36,32,0.2,293
1,1,1,72,81,72,0.2,594
0,0,1,54,54,95,0.2,2880
0,0,1,59,59,40,0.2,482
1,0,0,0,24,29,0.2,386
1,0,0,0,51,60,0.2,360
1,0,0,0,65,83,0.2,400
1,1,1,78,98,78,0.2,317
1,0,0,0,51,56,0.2,113
0,0,1,20,20,5,0.2,560
1,0,0,0,2,67,0.2,524
1,0,0,0,84,85,0.2,1903
1,1,1,7,49,7,0.2,1860
1,0,0,0,47,37,0.2,380
1,0,0,0,91,27,0.2,227
1,0,0,0,42,44,0.2,468
1,1,1,31,55,31,0.2,3178
0,0,1,70,70,97,0.2,1779
0,0,1,9,9,14,0.2,1719
0,1,0,0,51,23,0.2,1604
1,1,1,89,79,89,0.8,1080
0,1,0,0,86,83,0.8,265
0,1,0,0,62,40,0.8,158
0,1,0,0,23,36,0.8,753
0,1,0,0,61,65,0.8,290
1,1,1,74,67,74,0.8,1734
0,1,0,0,41,73,0.8,283
0,0,1,54,54,96,0.8,499
0,1,0,0,88,86,0.8,771
1,1,1,43,66,43,0.8,2799
0,1,0,0,79,72,0.8,200
0,0,1,13,13,71,0.8,461
0,1,0,0,53,78,0.8,500
0,1,0,0,90,57,0.8,2558
0,0,1,12,12,3,0.8,267
1,1,1,2,64,2,0.8,1841
0,1,0,0,9,99,0.8,557
0,1,0,0,42,21,0.8,880
0,1,0,0,72,83,0.8,60
0,1,0,0,11,37,0.8,127
0,0,1,81,81,67,0.2,1524
0,1,0,0,14,12,0.2,1099
0,0,1,90,90,78,0.2,804
1,0,0,0,53,46,0.2,175
1,0,0,0,42,30,0.2,1201
1,0,0,0,65,36,0.2,400
1,0,0,0,49,49,0.2,1380
0,0,1,10,10,44,0.2,330
1,0,0,0,64,70,0.2,1566
1,0,0,0,95,68,0.2,1645
1,0,0,0,48,2,0.2,121
1,0,0,0,61,9,0.2,600
1,0,0,0,60,47,0.2,346
1,0,0,0,23,78,0.2,303
0,1,0,0,67,82,0.2,1409
0,0,1,16,16,64,0.2,200
1,1,1,37,78,37,0.2,740
0,0,1,22,22,89,0.2,1119
0,0,1,18,18,26,0.2,438
1,0,0,0,73,8,0.2,84
1,1,1,73,66,73,0.8,720
0,1,0,0,17,17,0.8,1972
0,1,0,0,63,90,0.8,321
0,1,0,0,66,77,0.8,1867
0,0,1,27,27,35,0.8,1044
1,1,1,4,15,4,0.8,387
0,1,0,0,90,96,0.8,300
0,1,0,0,11,18,0.8,144
0,1,0,0,20,53,0.8,1167
0,1,0,0,37,85,0.8,200
1,0,0,0,46,38,0.25,1278
1,0,0,0,24,18,0.25,540
1,0,0,0,78,82,0.25,160
1,0,0,0,54,59,0.25,200
1,0,0,0,33,36,0.25,40
1,0,0,0,56,49,0.25,360
1,0,0,0,83,26,0.25,317
1,0,0,0,81,38,0.25,254
1,0,0,0,23,12,0.25,341
1,0,0,0,7,87,0.25,660
1,0,0,0,50,43,0.25,360
1,0,0,0,47,50,0.25,284
1,1,1,41,35,41,0.25,80
1,0,0,0,87,9,0.25,2325
1,0,0,0,58,20,0.25,1436
1,0,0,0,31,88,0.25,364
1,0,0,0,44,56,0.25,381
1,0,0,0,85,31,0.25,460
0,0,1,31,31,90,0.25,690
0,0,1,76,76,80,0.25,NaN
0,0,1,4,4,78,0.25,400
1,0,0,0,28,60,0.25,22
1,1,1,56,99,56,0.25,180
1,0,0,0,45,31,0.25,132
1,0,0,0,16,55,0.25,2
1,1,1,12,89,12,0.25,260
1,0,0,0,86,49,0.25,633
1,0,0,0,62,69,0.25,1062
1,1,1,49,26,49,0.25,405
1,0,0,0,76,75,0.25,503
1,0,0,0,90,22,0.25,126
1,0,0,0,76,26,0.25,90
1,0,0,0,68,11,0.25,223
1,1,1,71,82,71,0.25,2499
1,0,0,0,95,86,0.25,1107
1,0,0,0,88,79,0.25,712
1,0,0,0,40,75,0.25,214
1,0,0,0,94,11,0.25,0
1,1,1,53,44,53,0.25,490
1,0,0,0,47,85,0.25,2719
1,1,1,85,32,85,0.25,1440
1,0,0,0,68,38,0.25,275
1,0,0,0,93,28,0.25,320
1,0,0,0,95,13,0.25,1121
1,0,0,0,60,69,0.25,333
1,1,1,56,95,56,0.25,800
1,0,0,0,41,2,0.25,155
0,0,1,5,5,42,0.25,239
1,1,1,44,30,44,0.25,409
0,0,1,54,54,79,0.25,1042
1,0,0,0,87,83,0.25,280
1,0,0,0,44,59,0.25,1366
1,1,1,15,10,15,0.25,1052
0,0,1,15,15,60,0.25,260
0,1,0,0,25,93,0.25,2243
1,0,0,0,23,43,0.25,120
1,0,0,0,87,22,0.25,473
1,1,1,27,77,27,0.25,457
0,0,1,35,35,99,0.25,774
1,1,1,49,39,49,0.25,760
0,0,1,60,60,83,0.25,520
1,1,1,61,54,61,0.25,520
0,0,1,34,34,82,0.25,620
1,0,0,0,86,96,0.25,2501
0,0,1,27,27,65,0.25,125
1,1,1,63,93,63,0.25,1524
0,0,1,40,40,65,0.25,1750
0,0,1,69,69,7,0.25,660
1,1,1,94,28,94,0.25,521
0,0,1,4,4,90,0.25,785
1,0,0,0,94,70,0.25,1842
1,0,0,0,54,32,0.25,150
1,0,0,0,67,35,0.25,78
1,0,0,0,61,9,0.25,102
1,0,0,0,75,52,0.25,1020
1,1,1,61,98,61,0.25,260
1,0,0,0,73,73,0.25,963
1,0,0,0,86,1,0.25,360
1,1,1,18,99,18,0.25,140
1,0,0,0,76,47,0.25,240
0,0,1,15,15,37,0.25,538
0,0,1,33,33,95,0.25,2754
0,1,0,0,4,93,0.25,140
1,1,1,96,70,96,0.25,1083
1,1,1,21,96,21,0.25,163
1,1,1,17,73,17,0.25,203
0,0,1,74,74,58,0.25,340
0,0,1,18,18,60,0.25,297
0,0,1,36,36,70,0.25,104
1,0,0,0,58,31,0.25,344
